"province","last_updated","date","change_cases","change_fatalities","change_tests","change_hospitalizations","change_criticals","change_recoveries","change_vaccinations","change_vaccinated","change_boosters_1","change_vaccines_distributed","total_cases","total_fatalities","total_tests","total_hospitalizations","total_criticals","total_recoveries","total_vaccinations","total_vaccinated","total_boosters_1","total_vaccines_distributed"
"ON","2022-01-14 20:00:00",2020-01-25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-01-26,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-01-27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-01-28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-01-29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-01-30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-01-31,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-02,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-03,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-04,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-05,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-06,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-07,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-08,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-09,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ON","2022-01-14 20:00:00",2020-02-15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
