"last_updated","date","change_cases","change_fatalities","change_tests","change_hospitalizations","change_criticals","change_recoveries","change_vaccinations","change_vaccinated","change_boosters_1","change_vaccines_distributed","total_cases","total_fatalities","total_tests","total_hospitalizations","total_criticals","total_recoveries","total_vaccinations","total_vaccinated","total_boosters_1","total_vaccines_distributed"
"2022-01-14 20:00:00",2020-01-25,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-01-26,1,0,4,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-01-27,0,0,20,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-01-28,1,0,10,0,0,0,0,0,0,0,3,0,36,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-01-29,0,0,3,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-01-30,0,0,26,0,0,0,0,0,0,0,3,0,65,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-01-31,1,0,33,0,0,0,0,0,0,0,4,0,98,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-01,0,0,23,0,0,0,0,0,0,0,4,0,121,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-02,0,0,24,0,0,0,0,0,0,0,4,0,145,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-03,0,0,16,0,0,0,0,0,0,0,4,0,161,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-04,0,0,56,0,0,0,0,0,0,0,4,0,217,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-05,1,0,50,0,0,0,0,0,0,0,5,0,267,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-06,2,0,35,0,0,0,0,0,0,0,7,0,302,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-07,0,0,63,0,0,0,0,0,0,0,7,0,365,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-08,0,0,41,0,0,0,0,0,0,0,7,0,406,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-09,0,0,30,0,0,0,0,0,0,0,7,0,436,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-10,0,0,10,0,0,0,0,0,0,0,7,0,446,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-11,0,0,37,0,0,0,0,0,0,0,7,0,483,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-12,0,0,70,0,0,0,0,0,0,0,7,0,553,0,0,0,0,0,0,0
"2022-01-14 20:00:00",2020-02-13,0,0,55,0,0,0,0,0,0,0,7,0,608,0,0,0,0,0,0,0
