"last_updated","province","date","change_cases","change_fatalities","change_tests","change_hospitalizations","change_criticals","change_recoveries","change_vaccinations","change_vaccinated","change_boosters_1","change_vaccines_distributed","total_cases","total_fatalities","total_tests","total_hospitalizations","total_criticals","total_recoveries","total_vaccinations","total_vaccinated","total_boosters_1","total_vaccines_distributed"
"2022-01-14 20:00:00","ON",2022-01-15,10732,43,56318,143,31,22870,157357,13416,130559,0,937636,10565,22090290,3957,558,827756,29337677,11530464,5440984,32296511
"2022-01-14 20:00:00","QC",2022-01-15,6705,96,0,110,0,0,0,0,0,0,789807,12289,15562797,3195,275,689848,16453249,6717912,2386014,16948499
"2022-01-14 20:00:00","NS",2022-01-15,627,0,0,1,0,0,0,0,0,0,29045,117,1651485,58,10,17152,2015876,801144,343210,2063380
"2022-01-14 20:00:00","NB",2022-01-15,0,0,0,0,0,0,0,0,0,0,21979,182,649735,103,11,14760,1533010,625621,223777,1681965
"2022-01-14 20:00:00","MB",2022-01-15,0,0,0,0,0,0,0,0,0,0,107838,1443,1340360,517,45,69075,2624569,1044743,440805,2987048
"2022-01-14 20:00:00","BC",2022-01-15,0,0,0,0,0,0,0,0,0,0,293521,2468,5286492,646,95,251846,9962096,4132647,1412493,10398692
"2022-01-14 20:00:00","PE",2022-01-15,0,0,0,0,0,0,0,0,0,0,3861,2,248680,8,1,1867,314880,134681,34273,325495
"2022-01-14 20:00:00","SK",2022-01-15,1154,0,3424,19,3,556,3063,1808,0,0,98699,961,1378249,150,11,86815,2194619,876137,365082,2540835
"2022-01-14 20:00:00","AB",2022-01-15,0,0,0,0,0,0,0,0,0,0,436495,3380,6586755,822,81,368986,8007767,3242357,1239464,9480789
"2022-01-14 20:00:00","NL",2022-01-15,0,0,0,0,0,0,0,0,0,0,12092,24,450158,8,0,6485,939733,449755,0,1212180
"2022-01-14 20:00:00","NT",2022-01-15,0,0,0,0,0,0,0,0,0,0,3741,12,36435,0,0,2435,93926,37022,16619,107610
"2022-01-14 20:00:00","YT",2022-01-15,0,0,0,0,0,0,0,0,0,0,2638,15,28024,0,0,2210,87871,34440,16274,96270
"2022-01-14 20:00:00","NU",2022-01-15,0,0,0,0,0,0,0,0,0,0,1055,4,27304,0,0,923,56225,24998,0,83590
